IP地址,端口,TLS,域名后缀,数据中心,08-14-03:35:57,城市,网络延迟(ms),下载速度(MB/s)
47.76.204.76,2053,true,HK,HKG,Asia Pacific,Hong Kong,37,10.6
47.243.173.187,2053,true,HK,HKG,Asia Pacific,Hong Kong,36,10.6
47.76.213.245,2053,true,HK,HKG,Asia Pacific,Hong Kong,94,10.6
47.243.51.171,2053,true,HK,HKG,Asia Pacific,Hong Kong,43,10.5
47.76.225.255,2053,true,HK,HKG,Asia Pacific,Hong Kong,41,10.5
8.218.201.73,2053,true,HK,HKG,Asia Pacific,Hong Kong,44,10.4
47.238.5.0,2053,true,HK,HKG,Asia Pacific,Hong Kong,41,10.4
47.238.43.79,2053,true,HK,HKG,Asia Pacific,Hong Kong,40,10.3
8.217.251.62,2053,true,HK,HKG,Asia Pacific,Hong Kong,40,10.0
47.76.159.146,2053,true,HK,HKG,Asia Pacific,Hong Kong,42,9.5
147.78.244.117,2053,true,JP,NRT,Asia Pacific,Tokyo,84,9.5
47.242.155.183,2053,true,HK,HKG,Asia Pacific,Hong Kong,37,8.5
8.210.42.171,2053,true,HK,HKG,Asia Pacific,Hong Kong,38,8.2
