IP地址,端口,TLS,域名后缀,数据中心,08-14-06:51:23,城市,网络延迟(ms),下载速度(MB/s)
206.238.236.74,443,true,US,SJC,North America,San Jose,189,9.1
154.218.15.211,443,true,US,SJC,North America,San Jose,187,8.9
206.238.236.140,443,true,US,SJC,North America,San Jose,179,8.8
206.238.236.239,443,true,US,SJC,North America,San Jose,178,8.8
154.218.15.226,443,true,US,SJC,North America,San Jose,186,8.6
154.21.87.49,443,true,US,LAX,North America,Los Angeles,179,8.4
206.238.236.6,443,true,US,SJC,North America,San Jose,183,8.3
206.238.236.60,443,true,US,SJC,North America,San Jose,183,8.2
195.15.202.67,443,true,AT,VIE,Europe,Vienna,220,8.1
104.245.12.55,443,true,US,SJC,North America,San Jose,156,7.8
156.238.18.108,443,true,US,SJC,North America,San Jose,183,7.7
45.90.59.204,443,true,CH,ZRH,Europe,Zurich,242,7.2
206.238.236.251,443,true,US,SJC,North America,San Jose,185,7.1
206.238.236.20,443,true,US,SJC,North America,San Jose,178,7.0
46.149.75.77,443,true,NL,AMS,Europe,Amsterdam,269,6.9
206.238.236.106,443,true,US,SJC,North America,San Jose,184,6.9
38.59.242.131,443,true,US,SJC,North America,San Jose,157,6.8
51.107.2.162,443,true,IT,MXP,Europe,Milan,219,6.6
45.85.93.59,443,true,IT,MXP,Europe,Milan,196,6.4
154.17.228.214,443,true,US,LAX,North America,Los Angeles,160,6.3
206.238.236.127,443,true,US,SJC,North America,San Jose,184,6.1
51.21.48.77,443,true,SE,ARN,Europe,Stockholm,208,5.9
188.213.129.147,443,true,CH,GVA,Europe,Geneva,217,5.8
154.17.224.138,443,true,US,LAX,North America,Los Angeles,172,5.7
23.165.40.112,443,true,US,LAX,North America,Los Angeles,180,5.7
142.44.179.3,443,true,CA,YYZ,North America,Toronto,252,5.5
38.47.117.77,443,true,US,LAX,North America,Los Angeles,188,5.4
172.93.32.240,443,true,CA,YVR,North America,Vancouver,202,5.3
51.20.197.83,443,true,SE,ARN,Europe,Stockholm,248,5.1
