IP地址,端口,TLS,国家代码,数据中心,城市,网络延迟,下载速度
104.238.177.177,2053,true,DE,FRA,Frankfurt,288 ms,6.7
13.60.115.44,2053,true,SE,ARN,Stockholm,234 ms,5.5
104.207.131.222,2053,true,DE,FRA,Frankfurt,266 ms,5.3
108.61.210.222,2053,true,DE,FRA,Frankfurt,255 ms,5.0
137.74.150.219,2053,true,FR,CDG,Paris,267 ms,4.9
15.188.202.197,2083,true,FR,CDG,Paris,233 ms,5.7
51.103.225.73,2096,true,IT,MXP,Milan,223 ms,5.8
35.157.121.50,2096,true,DE,FRA,Frankfurt,222 ms,5.1
13.49.76.163,8443,true,SE,ARN,Stockholm,235 ms,5.9
13.60.115.44,8443,true,SE,ARN,Stockholm,221 ms,5.5
136.244.90.180,8443,true,DE,FRA,Frankfurt,267 ms,5.3
104.238.177.177,8443,true,DE,FRA,Frankfurt,251 ms,5.0
108.61.210.222,8443,true,DE,FRA,Frankfurt,250 ms,5.0
107.189.8.158,443,true,NL,AMS,Amsterdam,295 ms,5.8
138.2.130.130,443,true,DE,FRA,Frankfurt,277 ms,5.1
147.45.73.218,443,true,SE,ARN,Stockholm,241 ms,5.1
140.82.38.222,443,true,DE,FRA,Frankfurt,275 ms,5.0
