IP地址,端口,TLS,国家代码,数据中心,城市,网络延迟,下载速度
8.218.122.55,2053,true,HK,HKG,Hong Kong,41 ms,9.3
47.238.5.0,2053,true,HK,HKG,Hong Kong,40 ms,9.2
8.218.8.142,2053,true,HK,HKG,Hong Kong,43 ms,9.2
8.210.39.96,2053,true,HK,HKG,Hong Kong,42 ms,8.3
47.238.5.0,2083,true,HK,HKG,Hong Kong,40 ms,9.5
8.218.122.55,2083,true,HK,HKG,Hong Kong,46 ms,9.4
8.210.39.96,2083,true,HK,HKG,Hong Kong,37 ms,7.8
8.217.250.222,2083,true,HK,HKG,Hong Kong,45 ms,5.4
8.218.8.142,2087,true,HK,HKG,Hong Kong,42 ms,9.2
47.238.5.0,2087,true,HK,HKG,Hong Kong,41 ms,9.2
178.173.237.223,2087,true,HK,HKG,Hong Kong,39 ms,9.0
8.218.122.55,2087,true,HK,HKG,Hong Kong,45 ms,7.8
47.242.234.127,2087,true,HK,HKG,Hong Kong,37 ms,4.3
47.238.5.0,2096,true,HK,HKG,Hong Kong,42 ms,9.2
8.218.122.55,2096,true,HK,HKG,Hong Kong,44 ms,7.2
8.217.121.207,2096,true,HK,HKG,Hong Kong,38 ms,6.1
47.238.6.58,2096,true,HK,HKG,Hong Kong,42 ms,4.6
47.238.5.0,8443,true,HK,HKG,Hong Kong,74 ms,8.8
8.217.121.207,8443,true,HK,HKG,Hong Kong,69 ms,5.6
8.210.89.245,8443,true,HK,HKG,Hong Kong,69 ms,5.0
8.218.8.142,8443,true,HK,HKG,Hong Kong,67 ms,3.0
43.129.171.137,443,true,HK,HKG,Hong Kong,90 ms,6.5
