IP地址,端口,TLS,国家代码,数据中心,城市,网络延迟,下载速度
47.245.126.151,2053,true,SG,SIN,Singapore,247 ms,7.0
8.219.114.201,2053,true,SG,SIN,Singapore,244 ms,6.5
8.219.50.180,2053,true,SG,SIN,Singapore,226 ms,6.2
47.245.96.80,2053,true,SG,SIN,Singapore,223 ms,5.9
8.219.78.1,2083,true,SG,SIN,Singapore,220 ms,7.2
8.219.50.180,2083,true,SG,SIN,Singapore,226 ms,7.0
8.219.114.201,2083,true,SG,SIN,Singapore,216 ms,6.2
47.245.126.151,2083,true,SG,SIN,Singapore,219 ms,6.2
8.222.193.65,2083,true,SG,SIN,Singapore,221 ms,6.1
8.219.114.201,2087,true,SG,SIN,Singapore,222 ms,6.8
8.219.78.1,2087,true,SG,SIN,Singapore,218 ms,6.5
8.219.50.180,2087,true,SG,SIN,Singapore,223 ms,6.1
8.222.193.65,2087,true,SG,SIN,Singapore,223 ms,4.1
8.219.114.201,2096,true,SG,SIN,Singapore,220 ms,6.5
47.236.144.208,2096,true,SG,SIN,Singapore,216 ms,6.2
8.219.78.1,2096,true,SG,SIN,Singapore,224 ms,4.6
47.245.96.80,2096,true,SG,SIN,Singapore,217 ms,4.5
8.219.50.180,2096,true,SG,SIN,Singapore,229 ms,4.3
8.219.114.201,8443,true,SG,SIN,Singapore,222 ms,7.3
47.245.96.80,8443,true,SG,SIN,Singapore,219 ms,4.6
89.28.239.27,443,true,SG,SIN,Singapore,75 ms,8.7
43.156.253.94,443,true,SG,SIN,Singapore,78 ms,8.1
124.156.202.172,443,true,SG,SIN,Singapore,86 ms,7.6
8.219.114.201,443,true,SG,SIN,Singapore,226 ms,6.9
8.222.233.183,443,true,SG,SIN,Singapore,220 ms,5.3
